RAPORT Z EGZAMINU WSTEPNEGO
========================================================================================
| POZ  |  ID  | MATURA | TEORIA | PRAKT. | SUMA(T+P) | STATUS                      |
| #288 | 0025 | TAK |   53%  |   61%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #289 | 0083 | TAK |   70%  |   44%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #290 | 0104 | TAK |   54%  |   60%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #291 | 0173 | TAK |   44%  |   70%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #292 | 0231 | TAK |   39%  |   75%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #293 | 0273 | TAK |   53%  |   61%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #294 | 0330 | TAK |   47%  |   67%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #295 | 0371 | TAK |   69%  |   45%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #296 | 0546 | TAK |   52%  |   62%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #297 | 0647 | TAK |   44%  |   70%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #298 | 0658 | TAK |   44%  |   70%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #299 | 0766 | TAK |   61%  |   53%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #300 | 0810 | TAK |   48%  |   66%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #301 | 0827 | TAK |   68%  |   46%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #302 | 1083 | TAK |   69%  |   45%  |  114 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #303 | 0161 | TAK |   57%  |   56%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #304 | 0177 | TAK |   45%  |   68%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #305 | 0238 | TAK |   58%  |   55%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #306 | 0258 | TAK |   52%  |   61%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #307 | 0278 | TAK |   50%  |   63%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #308 | 0281 | TAK |   49%  |   64%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #309 | 0303 | TAK |   59%  |   54%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #310 | 0331 | TAK |   62%  |   51%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #311 | 0446 | TAK |   56%  |   57%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #312 | 0459 | TAK |   65%  |   48%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #313 | 0462 | TAK |   46%  |   67%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #314 | 0603 | TAK |   58%  |   55%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #315 | 0633 | TAK |   44%  |   69%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #316 | 0708 | TAK |   67%  |   46%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #317 | 0783 | TAK |   58%  |   55%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #318 | 0791 | TAK |   46%  |   67%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #319 | 1027 | TAK |   61%  |   52%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #320 | 1153 | TAK |   52%  |   61%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #321 | 1198 | TAK |   54%  |   59%  |  113 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #322 | 0078 | TAK |   66%  |   46%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #323 | 0079 | TAK |   46%  |   66%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #324 | 0109 | TAK |   62%  |   50%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #325 | 0151 | TAK |   68%  |   44%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #326 | 0186 | TAK |   37%  |   75%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #327 | 0261 | TAK |   53%  |   59%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #328 | 0401 | TAK |   55%  |   57%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #329 | 0438 | TAK |   71%  |   41%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #330 | 0543 | TAK |   69%  |   43%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #331 | 0563 | TAK |   50%  |   62%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #332 | 0613 | TAK |   39%  |   73%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #333 | 0641 | TAK |   55%  |   57%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #334 | 0667 | TAK |   41%  |   71%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #335 | 0725 | TAK |   65%  |   47%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #336 | 0835 | TAK |   61%  |   51%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #337 | 0878 | TAK |   70%  |   42%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #338 | 0883 | TAK |   42%  |   70%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #339 | 0892 | TAK |   49%  |   63%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #340 | 0920 | TAK |   37%  |   75%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #341 | 0966 | TAK |   67%  |   45%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #342 | 1067 | TAK |   51%  |   61%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #343 | 1080 | TAK |   47%  |   65%  |  112 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #344 | 0018 | TAK |   45%  |   66%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #345 | 0027 | TAK |   56%  |   55%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #346 | 0101 | TAK |   57%  |   54%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #347 | 0134 | TAK |   53%  |   58%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #348 | 0142 | TAK |   48%  |   63%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #349 | 0152 | TAK |   80%  |   31%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #350 | 0197 | TAK |   67%  |   44%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #351 | 0236 | TAK |   66%  |   45%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #352 | 0266 | TAK |   55%  |   56%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #353 | 0379 | TAK |   67%  |   44%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #354 | 0414 | TAK |   68%  |   43%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #355 | 0436 | TAK |   44%  |   67%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #356 | 0531 | TAK |   45%  |   66%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #357 | 0644 | TAK |   57%  |   54%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #358 | 0852 | TAK |   56%  |   55%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #359 | 0924 | TAK |   51%  |   60%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #360 | 0986 | TAK |   58%  |   53%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #361 | 1020 | TAK |   72%  |   39%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #362 | 1107 | TAK |   49%  |   62%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #363 | 1114 | TAK |   67%  |   44%  |  111 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #364 | 0001 | TAK |   53%  |   57%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #365 | 0167 | TAK |   49%  |   61%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #366 | 0183 | TAK |   61%  |   49%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #367 | 0353 | TAK |   66%  |   44%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #368 | 0429 | TAK |   42%  |   68%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #369 | 0480 | TAK |   59%  |   51%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #370 | 0532 | TAK |   47%  |   63%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #371 | 0538 | TAK |   46%  |   64%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #372 | 0572 | TAK |   63%  |   47%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #373 | 0627 | TAK |   53%  |   57%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #374 | 0634 | TAK |   58%  |   52%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #375 | 0643 | TAK |   42%  |   68%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #376 | 0659 | TAK |   42%  |   68%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #377 | 0669 | TAK |   64%  |   46%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #378 | 0731 | TAK |   66%  |   44%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #379 | 0744 | TAK |   53%  |   57%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #380 | 0773 | TAK |   58%  |   52%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #381 | 0804 | TAK |   52%  |   58%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #382 | 0817 | TAK |   74%  |   36%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #383 | 0854 | TAK |   52%  |   58%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #384 | 0928 | TAK |   38%  |   72%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #385 | 1133 | TAK |   53%  |   57%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #386 | 1155 | TAK |   46%  |   64%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #387 | 1179 | TAK |   49%  |   61%  |  110 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #388 | 0029 | TAK |   53%  |   56%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #389 | 0099 | TAK |   46%  |   63%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #390 | 0102 | TAK |   51%  |   58%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #391 | 0174 | TAK |   49%  |   60%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #392 | 0178 | TAK |   50%  |   59%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #393 | 0312 | TAK |   44%  |   65%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #394 | 0398 | TAK |   59%  |   50%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #395 | 0481 | TAK |   48%  |   61%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #396 | 0492 | TAK |   51%  |   58%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #397 | 0523 | TAK |   44%  |   65%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #398 | 0536 | TAK |   43%  |   66%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #399 | 0594 | TAK |   42%  |   67%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #400 | 0823 | TAK |   42%  |   67%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #401 | 0829 | TAK |   46%  |   63%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #402 | 0903 | TAK |   34%  |   75%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #403 | 0951 | TAK |   52%  |   57%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #404 | 1053 | TAK |   48%  |   61%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #405 | 1169 | TAK |   44%  |   65%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #406 | 1176 | TAK |   41%  |   68%  |  109 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #407 | 0037 | TAK |   40%  |   68%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #408 | 0219 | TAK |   69%  |   39%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #409 | 0227 | TAK |   60%  |   48%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #410 | 0264 | TAK |   44%  |   64%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #411 | 0300 | TAK |   44%  |   64%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #412 | 0342 | TAK |   59%  |   49%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #413 | 0434 | TAK |   65%  |   43%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #414 | 0473 | TAK |   50%  |   58%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #415 | 0507 | TAK |   56%  |   52%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #416 | 0584 | TAK |   66%  |   42%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #417 | 0618 | TAK |   60%  |   48%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #418 | 0694 | TAK |   60%  |   48%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #419 | 0757 | TAK |   41%  |   67%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #420 | 0846 | TAK |   68%  |   40%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #421 | 0952 | TAK |   40%  |   68%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #422 | 1044 | TAK |   69%  |   39%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #423 | 1064 | TAK |   62%  |   46%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #424 | 1099 | TAK |   49%  |   59%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #425 | 1104 | TAK |   42%  |   66%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #426 | 1109 | TAK |   52%  |   56%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #427 | 1160 | TAK |   57%  |   51%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #428 | 1188 | TAK |   54%  |   54%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #429 | 1197 | TAK |   41%  |   67%  |  108 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #430 | 0039 | TAK |   54%  |   53%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #431 | 0095 | TAK |   76%  |   31%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #432 | 0171 | TAK |   55%  |   52%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #433 | 0176 | TAK |   43%  |   64%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #434 | 0196 | TAK |   47%  |   60%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #435 | 0205 | TAK |   48%  |   59%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #436 | 0225 | TAK |   55%  |   52%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #437 | 0246 | TAK |   65%  |   42%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #438 | 0252 | TAK |   47%  |   60%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #439 | 0316 | TAK |   42%  |   65%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #440 | 0435 | TAK |   60%  |   47%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #441 | 0548 | TAK |   38%  |   69%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #442 | 0582 | TAK |   52%  |   55%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #443 | 0583 | TAK |   61%  |   46%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #444 | 0793 | TAK |   56%  |   51%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #445 | 0905 | TAK |   66%  |   41%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #446 | 0919 | TAK |   40%  |   67%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #447 | 1014 | TAK |   66%  |   41%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #448 | 1023 | TAK |   47%  |   60%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #449 | 1036 | TAK |   61%  |   46%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #450 | 1122 | TAK |   56%  |   51%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #451 | 1159 | TAK |   64%  |   43%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #452 | 1181 | TAK |   36%  |   71%  |  107 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #453 | 0115 | TAK |   67%  |   39%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #454 | 0129 | TAK |   55%  |   51%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #455 | 0304 | TAK |   53%  |   53%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #456 | 0327 | TAK |   44%  |   62%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #457 | 0356 | TAK |   65%  |   41%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #458 | 0470 | TAK |   33%  |   73%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #459 | 0477 | TAK |   50%  |   56%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #460 | 0493 | TAK |   43%  |   63%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #461 | 0514 | TAK |   37%  |   69%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #462 | 0685 | TAK |   39%  |   67%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #463 | 0697 | TAK |   62%  |   44%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #464 | 0700 | TAK |   60%  |   46%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #465 | 0837 | TAK |   57%  |   49%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #466 | 0839 | TAK |   53%  |   53%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #467 | 0851 | TAK |   50%  |   56%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #468 | 0881 | TAK |   47%  |   59%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #469 | 0957 | TAK |   54%  |   52%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #470 | 1002 | TAK |   66%  |   40%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #471 | 1031 | TAK |   53%  |   53%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #472 | 1097 | TAK |   71%  |   35%  |  106 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #473 | 0063 | TAK |   48%  |   57%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #474 | 0159 | TAK |   54%  |   51%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #475 | 0202 | TAK |   39%  |   66%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #476 | 0341 | TAK |   37%  |   68%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #477 | 0380 | TAK |   36%  |   69%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #478 | 0510 | TAK |   49%  |   56%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #479 | 0512 | TAK |   32%  |   73%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #480 | 0621 | TAK |   38%  |   67%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #481 | 0693 | TAK |   39%  |   66%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #482 | 0945 | TAK |   55%  |   50%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #483 | 1062 | TAK |   70%  |   35%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #484 | 1100 | TAK |   64%  |   41%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #485 | 1118 | TAK |   41%  |   64%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #486 | 1136 | TAK |   48%  |   57%  |  105 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #487 | 0049 | TAK |   45%  |   59%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #488 | 0088 | TAK |   62%  |   42%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #489 | 0170 | TAK |   58%  |   46%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #490 | 0191 | TAK |   34%  |   70%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #491 | 0288 | TAK |   31%  |   73%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #492 | 0311 | TAK |   55%  |   49%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #493 | 0349 | TAK |   63%  |   41%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #494 | 0376 | TAK |   48%  |   56%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #495 | 0383 | TAK |   50%  |   54%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #496 | 0428 | TAK |   55%  |   49%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #497 | 0488 | TAK |   52%  |   52%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #498 | 0569 | TAK |   57%  |   47%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #499 | 0645 | TAK |   56%  |   48%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #500 | 0683 | TAK |   43%  |   61%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #501 | 0728 | TAK |   51%  |   53%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #502 | 0927 | TAK |   55%  |   49%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #503 | 1038 | TAK |   52%  |   52%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #504 | 1063 | TAK |   45%  |   59%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #505 | 1186 | TAK |   51%  |   53%  |  104 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #506 | 0118 | TAK |   37%  |   66%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #507 | 0119 | TAK |   63%  |   40%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #508 | 0147 | TAK |   36%  |   67%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #509 | 0175 | TAK |   56%  |   47%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #510 | 0207 | TAK |   61%  |   42%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #511 | 0354 | TAK |   52%  |   51%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #512 | 0357 | TAK |   59%  |   44%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #513 | 0598 | TAK |   42%  |   61%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #514 | 0721 | TAK |   56%  |   47%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #515 | 0734 | TAK |   36%  |   67%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #516 | 0776 | TAK |   47%  |   56%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #517 | 0811 | TAK |   53%  |   50%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #518 | 0824 | TAK |   46%  |   57%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #519 | 1111 | TAK |   63%  |   40%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #520 | 1183 | TAK |   54%  |   49%  |  103 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #521 | 0058 | TAK |   62%  |   40%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #522 | 0116 | TAK |   43%  |   59%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #523 | 0232 | TAK |   40%  |   62%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #524 | 0253 | TAK |   54%  |   48%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #525 | 0338 | TAK |   63%  |   39%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #526 | 0394 | TAK |   46%  |   56%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #527 | 0450 | TAK |   48%  |   54%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #528 | 0640 | TAK |   39%  |   63%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #529 | 0654 | TAK |   63%  |   39%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #530 | 0670 | TAK |   47%  |   55%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #531 | 0727 | TAK |   51%  |   51%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #532 | 0751 | TAK |   63%  |   39%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #533 | 0907 | TAK |   57%  |   45%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #534 | 0954 | TAK |   41%  |   61%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #535 | 1009 | TAK |   44%  |   58%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #536 | 1045 | TAK |   68%  |   34%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #537 | 1108 | TAK |   60%  |   42%  |  102 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #538 | 0249 | TAK |   55%  |   46%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #539 | 0282 | TAK |   37%  |   64%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #540 | 0292 | TAK |   64%  |   37%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #541 | 0388 | TAK |   67%  |   34%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #542 | 0419 | TAK |   46%  |   55%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #543 | 0499 | TAK |   52%  |   49%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #544 | 0535 | TAK |   45%  |   56%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
